ダウンロードした時刻：2021/06/18 10:18:33

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
2001/8/9,0.0,0,8,1,0.2,0,8,1,2.5,8,1,29.2,8,1,22.8,8,1,曇,8,1,曇,8,1,26.0,8,1
2001/8/10,0.0,0,8,1,7.5,0,8,1,4.1,8,1,31.9,8,1,26.3,8,1,曇時々晴、雷を伴う,8,1,晴後一時曇,8,1,28.8,8,1
2001/8/11,29.0,0,8,1,0.2,0,8,1,2.9,8,1,28.9,8,1,22.8,8,1,曇時々雨、雷を伴う,8,1,曇一時雨、雷を伴う,8,1,26.0,8,1
2001/8/12,0.0,0,8,1,0,1,8,1,4.0,8,1,25.0,8,1,21.6,8,1,曇,8,1,曇後一時霧雨,8,1,23.1,8,1
2001/8/13,0.0,0,8,1,4.2,0,8,1,2.5,8,1,31.7,8,1,21.3,8,1,曇時々晴,8,1,曇後一時晴,8,1,25.4,8,1
2001/8/14,0,1,8,1,10.0,0,8,1,3.2,5,1,32.1,8,1,25.1,8,1,快晴,8,1,曇,8,1,28.0,8,1
2001/8/15,0,1,8,1,4.5,0,8,1,4.0,8,1,30.9,8,1,23.3,8,1,曇後晴,8,1,晴後曇,8,1,25.8,8,1
2001/8/16,0,1,8,1,8.6,0,8,1,3.7,8,1,31.5,8,1,22.6,8,1,曇後晴,8,1,晴,8,1,25.7,8,1
2001/8/17,0,1,8,1,12.7,0,8,1,4.1,8,1,30.1,8,1,20.9,8,1,晴,8,1,晴後曇一時雨,8,1,24.9,8,1
2001/8/18,1.0,0,8,1,0.4,0,8,1,5.3,8,1,26.6,8,1,20.7,8,1,曇時々雨,8,1,曇一時雨後晴,8,1,22.9,8,1
2001/8/19,0,1,8,1,9.0,0,8,1,3.9,8,1,27.7,8,1,18.3,8,1,晴後薄曇,8,1,薄曇,8,1,22.8,8,1
2001/8/20,0,1,8,1,5.5,0,8,1,3.2,8,1,29.0,8,1,20.8,8,1,曇,8,1,曇,8,1,24.8,8,1
2001/8/21,8.0,0,8,1,0,1,8,1,5.9,8,1,27.4,8,1,21.9,8,1,雨時々曇,8,1,雨時々曇,8,1,25.1,8,1
2001/8/22,37.5,0,8,1,0,1,8,1,8.4,8,1,27.3,8,1,24.7,8,1,暴風雨後一時曇,8,1,晴一時曇,8,1,26.2,8,1
2001/8/23,0,1,8,1,9.5,0,8,1,3.3,8,1,31.8,8,1,24.2,8,1,晴,8,1,晴一時曇,8,1,27.9,8,1
2001/8/24,0,1,8,1,3.3,0,8,1,2.8,8,1,31.7,8,1,24.5,8,1,晴時々曇,8,1,曇一時晴,8,1,26.8,8,1
2001/8/25,0,1,8,1,5.3,0,8,1,2.8,8,1,31.7,8,1,23.5,8,1,曇,8,1,曇一時晴,8,1,26.4,8,1
2001/8/26,0,1,8,1,3.6,0,8,1,3.0,8,1,30.6,8,1,23.6,8,1,曇時々晴,8,1,晴後曇,8,1,26.6,8,1
2001/8/27,23.5,0,8,1,0.2,0,8,1,3.1,8,1,28.2,8,1,23.5,8,1,曇時々雨,8,1,曇,8,1,25.4,8,1
2001/8/28,0.0,0,8,1,2.6,0,8,1,3.2,8,1,30.4,8,1,23.4,8,1,曇時々晴,8,1,曇,8,1,25.8,8,1
2001/8/29,0.0,0,8,1,2.0,0,8,1,4.1,8,1,29.2,8,1,23.7,8,1,曇時々晴,8,1,曇,8,1,25.4,8,1
2001/8/30,0,1,8,1,0.9,0,8,1,3.7,8,1,27.7,8,1,22.9,8,1,曇,8,1,曇後一時雨,8,1,24.5,8,1
2001/8/31,12.0,0,8,1,0,1,8,1,2.3,8,1,24.2,8,1,21.8,8,1,雨時々曇,8,1,曇時々晴,8,1,22.7,8,1
2002/8/1,0.0,0,8,1,9.6,0,8,1,4.0,8,1,33.8,8,1,24.8,8,1,快晴,8,1,曇時々雨後晴、雷を伴う,8,1,29.6,8,1
2002/8/2,6.0,0,8,1,6.0,0,8,1,2.8,8,1,35.6,8,1,24.4,8,1,晴後曇一時雨、雷を伴う,8,1,晴時々曇,8,1,27.8,8,1
2002/8/3,0,1,8,1,7.3,0,8,1,3.1,8,1,32.2,8,1,23.0,8,1,晴時々曇,8,1,晴後曇,8,1,26.5,8,1
2002/8/4,3.0,0,8,1,3.3,0,8,1,2.8,8,1,30.7,8,1,23.1,8,1,曇時々晴,8,1,曇一時雨、雷を伴う,8,1,26.8,8,1
2002/8/5,0.0,0,8,1,8.5,0,8,1,2.8,8,1,32.8,8,1,24.9,8,1,晴,8,1,晴,8,1,28.6,8,1
2002/8/6,0,1,8,1,10.1,0,8,1,3.1,8,1,34.1,8,1,27.1,8,1,晴,8,1,晴,8,1,30.3,8,1
2002/8/7,0,1,8,1,12.4,0,8,1,4.6,8,1,33.7,8,1,26.9,8,1,快晴,8,1,快晴,8,1,29.8,8,1
2002/8/8,0,1,8,1,13.2,0,8,1,8.4,8,1,34.5,8,1,27.2,8,1,快晴,8,1,快晴,8,1,29.7,8,1
2002/8/9,0,1,8,1,13.1,0,8,1,9.9,8,1,32.5,8,1,27.0,8,1,快晴,8,1,晴,8,1,29.5,8,1
2002/8/10,0,1,8,1,13.0,0,8,1,9.4,8,1,32.9,8,1,27.3,8,1,晴,8,1,快晴,8,1,29.5,8,1
2002/8/11,0,1,8,1,12.7,0,8,1,7.3,8,1,32.9,8,1,23.9,8,1,快晴,8,1,晴後曇一時霧雨,8,1,29.3,8,1
2002/8/12,0.0,0,8,1,2.0,0,8,1,3.7,8,1,29.8,8,1,22.8,8,1,曇一時霧雨,8,1,晴時々曇,8,1,25.1,8,1
2002/8/13,0,1,8,1,9.8,0,8,1,4.5,8,1,33.2,8,1,24.1,8,1,晴,8,1,晴,8,1,28.3,8,1
2002/8/14,0,1,8,1,12.8,0,8,1,7.0,8,1,33.8,8,1,27.0,8,1,晴,8,1,薄曇時々晴,8,1,29.6,8,1
2002/8/15,0,1,8,1,11.0,0,8,1,7.0,8,1,34.4,8,1,27.1,8,1,晴,8,1,晴後一時曇、雷を伴う,8,1,29.6,8,1
2002/8/16,0,1,8,1,5.7,0,8,1,4.3,8,1,31.1,8,1,22.4,8,1,曇時々晴、雷を伴う,8,1,曇一時晴,8,1,26.8,8,1
2002/8/17,0.0,0,8,1,1.9,0,8,1,4.3,8,1,28.5,8,1,21.8,8,1,曇,8,1,曇時々雨,8,1,24.3,8,1
2002/8/18,16.0,0,8,1,0,1,8,1,4.9,8,1,24.3,8,1,21.8,8,1,雨時々曇,8,1,雨時々曇,8,1,22.6,8,1
2002/8/19,38.0,0,8,1,0,1,8,1,5.3,8,1,26.9,8,1,22.8,8,1,雨時々曇,8,1,曇時々雨後一時晴,8,1,25.1,8,1
2002/8/20,0.0,0,8,1,12.3,0,8,1,8.9,8,1,32.7,8,1,23.2,8,1,快晴,8,1,晴,8,1,27.4,8,1
2002/8/21,0,1,8,1,9.2,0,8,1,5.9,8,1,30.4,8,1,21.2,8,1,晴後一時曇,8,1,曇時々晴,8,1,24.9,8,1
2002/8/22,0,1,8,1,5.5,0,8,1,3.6,8,1,27.3,8,1,20.8,8,1,曇一時晴,8,1,晴後曇,8,1,23.1,8,1
2002/8/23,9.5,0,8,1,0,1,8,1,2.9,8,1,24.9,8,1,20.5,8,1,雨時々曇,8,1,雨時々曇,8,1,22.2,8,1
2002/8/24,13.0,0,8,1,6.3,0,8,1,4.0,8,1,29.5,8,1,21.8,8,1,晴時々曇,8,1,曇,8,1,25.2,8,1
2002/8/25,0.0,0,8,1,5.7,0,8,1,3.3,8,1,30.9,8,1,24.0,8,1,晴後時々曇,8,1,晴時々曇,8,1,26.3,8,1
2002/8/26,0.0,0,8,1,2.0,0,8,1,3.3,8,1,28.5,8,1,22.8,8,1,曇,8,1,曇一時霧雨,8,1,24.9,8,1
2002/8/27,0,1,8,1,4.1,0,8,1,3.0,8,1,31.7,8,1,23.0,8,1,晴時々曇,8,1,晴,8,1,26.7,8,1
2002/8/28,0,1,8,1,6.8,0,8,1,4.5,8,1,32.3,8,1,25.5,8,1,晴一時曇,8,1,晴,8,1,28.3,8,1
2002/8/29,0,1,8,1,10.0,0,8,1,3.5,8,1,31.2,8,1,25.4,8,1,晴,8,1,晴,8,1,28.0,8,1
2002/8/30,0,1,8,1,11.9,0,8,1,4.5,8,1,31.6,8,1,25.8,8,1,晴,8,1,晴,8,1,28.2,8,1
2002/8/31,0,1,8,1,10.8,0,8,1,4.8,8,1,32.0,8,1,25.8,8,1,晴,8,1,晴後薄曇,8,1,28.0,8,1
2003/8/1,0.0,0,8,1,0.7,0,8,1,3.2,8,1,26.4,8,1,20.7,8,1,曇一時雨後一時霧雨,8,1,曇,8,1,22.6,8,1
2003/8/2,0,1,8,1,7.7,0,8,1,3.6,8,1,31.4,8,1,21.6,8,1,晴一時曇,8,1,晴後薄曇,8,1,26.6,8,1
2003/8/3,0,1,8,1,9.8,0,8,1,5.6,8,1,31.0,8,1,25.9,8,1,薄曇時々晴,8,1,薄曇後晴,8,1,28.3,8,1
2003/8/4,0,1,8,1,12.7,0,8,1,5.3,8,1,32.5,8,1,26.5,8,1,晴,8,1,快晴,8,1,28.9,8,1
2003/8/5,10.0,0,8,1,7.7,0,8,1,3.8,8,1,34.8,8,1,24.7,8,1,晴後曇一時雨、雷を伴う,8,1,曇一時雨、雷を伴う,8,1,27.7,8,1
2003/8/6,0.0,0,8,1,2.8,0,8,1,2.6,8,1,31.1,8,1,23.5,8,1,曇一時雨,8,1,曇一時晴,8,1,26.6,8,1
2003/8/7,0,1,8,1,7.8,0,8,1,4.1,8,1,31.7,8,1,22.7,8,1,曇後晴,8,1,晴一時薄曇,8,1,27.1,8,1
2003/8/8,4.0,0,8,1,5.1,0,8,1,6.4,8,1,31.9,8,1,25.1,8,1,曇一時晴後時々雨,8,1,曇後時々雨,8,1,28.0,8,1
2003/8/9,17.5,0,8,1,0,1,8,1,11.4,8,1,30.3,8,1,25.6,8,1,雨時々曇、大風を伴う,8,1,曇一時雨、大風を伴う,8,1,27.8,8,1
2003/8/10,0,1,8,1,11.5,0,8,1,5.8,8,1,31.8,8,1,25.9,8,1,晴,8,1,晴,8,1,28.2,8,1
2003/8/11,0,1,8,1,11.6,0,8,1,6.8,8,1,32.1,8,1,26.0,8,1,晴後薄曇,8,1,曇,8,1,28.2,8,1
2003/8/12,1.5,0,8,1,2.0,0,8,1,5.6,8,1,31.4,8,1,21.0,8,1,曇一時雨,8,1,曇時々雨,8,1,26.1,8,1
2003/8/13,2.0,0,8,1,2.0,0,8,1,3.5,8,1,27.0,8,1,20.7,8,1,曇,8,1,雨時々曇,8,1,22.9,8,1
2003/8/14,44.5,0,8,1,0,1,8,1,4.2,8,1,20.9,8,1,18.4,8,1,雨,8,1,大雨,8,1,19.6,8,1
2003/8/15,162.0,0,8,1,0,1,8,1,3.4,8,1,20.2,8,1,18.3,8,1,大雨,8,1,雨時々曇,8,1,19.1,8,1
2003/8/16,40.5,0,8,1,0,1,8,1,3.6,8,1,19.8,8,1,18.5,8,1,大雨,8,1,雨,8,1,18.9,8,1
2003/8/17,2.0,0,8,1,0,1,8,1,2.4,8,1,21.2,8,1,18.5,8,1,曇後時々霧雨,8,1,曇時々雨一時霧雨、霧を伴う,8,1,19.9,8,1
2003/8/18,1.0,0,8,1,0,1,8,1,2.4,8,1,24.8,8,1,19.1,8,1,曇一時霧雨,8,1,曇時々雨一時霧雨,8,1,21.1,8,1
2003/8/19,0.0,0,8,1,0,1,8,1,2.8,8,1,24.6,8,1,19.9,8,1,霧雨一時雨後曇,8,1,曇,8,1,21.5,8,1
2003/8/20,0.0,0,8,1,0,1,8,1,2.5,8,1,27.1,8,1,20.5,8,1,曇,8,1,曇時々雨一時晴,8,1,23.6,8,1
2003/8/21,0.0,0,8,1,5.7,0,8,1,2.7,8,1,29.7,8,1,22.1,8,1,曇時々晴一時雨,8,1,曇一時晴,8,1,25.7,8,1
2003/8/22,0,1,8,1,7.2,0,8,1,2.5,8,1,32.2,8,1,24.8,8,1,晴時々曇,8,1,晴,8,1,27.4,8,1
2003/8/23,0,1,8,1,11.5,0,8,1,5.1,8,1,32.1,8,1,25.4,8,1,晴一時薄曇,8,1,晴,8,1,28.3,8,1
2003/8/24,0,1,8,1,9.0,0,8,1,3.1,8,1,33.2,8,1,25.9,8,1,晴,8,1,晴後曇,8,1,28.7,8,1
2003/8/25,0.0,0,8,1,9.9,0,8,1,5.2,8,1,33.5,8,1,25.5,8,1,晴,8,1,晴後曇,8,1,29.0,8,1
2003/8/26,0.0,0,8,1,2.5,0,8,1,5.7,8,1,31.8,8,1,27.0,8,1,曇一時晴,8,1,曇後時々雨,8,1,28.2,8,1
2003/8/27,33.5,0,8,1,0.8,0,8,1,4.9,8,1,27.3,8,1,20.9,8,1,大雨後曇,8,1,曇一時晴,8,1,23.9,8,1
2003/8/28,0,1,8,1,1.8,0,8,1,3.5,8,1,28.5,8,1,20.8,8,1,曇,8,1,曇,8,1,24.8,8,1
2003/8/29,0,1,8,1,9.0,0,8,1,3.7,8,1,31.8,8,1,23.5,8,1,晴一時薄曇,8,1,曇一時晴,8,1,27.7,8,1
2003/8/30,0,1,8,1,0.9,0,8,1,3.8,8,1,27.8,8,1,22.1,8,1,曇,8,1,曇,8,1,25.1,8,1
2003/8/31,0.0,0,8,1,4.4,0,8,1,3.9,8,1,31.5,8,1,20.3,8,1,曇時々晴一時雨,8,1,曇時々霧雨,8,1,24.1,8,1
2004/8/1,0,1,8,1,9.4,0,8,1,5.1,8,1,32.6,8,1,24.3,8,1,晴,8,1,快晴,8,1,27.5,8,1
2004/8/2,0,1,8,1,10.1,0,8,1,4.9,8,1,31.5,8,1,24.7,8,1,晴,8,1,晴,8,1,27.4,8,1
2004/8/3,0.0,0,8,1,7.2,0,8,1,4.3,8,1,31.0,8,1,25.0,8,1,晴時々曇,8,1,晴,8,1,27.8,8,1
2004/8/4,0.0,0,8,1,7.6,0,8,1,4.2,8,1,33.4,8,1,25.1,8,1,晴時々曇,8,1,晴後一時曇,8,1,28.3,8,1
2004/8/5,0,1,8,1,4.5,0,8,1,5.8,8,1,32.4,8,1,25.9,8,1,曇時々晴,8,1,曇時々晴,8,1,28.6,8,1
2004/8/6,0,1,8,1,8.1,0,8,1,5.3,8,1,31.7,8,1,25.9,8,1,晴時々曇,8,1,曇,8,1,28.4,8,1
2004/8/7,0,1,8,1,2.9,0,8,1,4.1,8,1,31.4,8,1,25.8,8,1,曇一時晴,8,1,曇後一時晴,8,1,28.0,8,1
2004/8/8,0,1,8,1,10.7,0,8,1,4.7,8,1,30.8,8,1,25.2,8,1,晴,8,1,晴,8,1,27.7,8,1
2004/8/9,0,1,8,1,12.3,0,8,1,5.4,8,1,31.9,8,1,25.1,8,1,晴,8,1,晴後時々曇,8,1,28.2,8,1
2004/8/10,0,1,8,1,9.3,0,8,1,5.1,8,1,31.9,8,1,26.3,8,1,晴後一時曇,8,1,曇時々晴,8,1,28.6,8,1
2004/8/11,0,1,8,1,4.9,0,8,1,3.7,8,1,32.2,8,1,24.9,8,1,曇後時々晴,8,1,薄曇,8,1,27.6,8,1
2004/8/12,0,1,8,1,9.9,0,8,1,3.4,8,1,33.1,8,1,23.3,8,1,薄曇,8,1,晴,8,1,27.9,8,1
2004/8/13,0,1,8,1,11.8,0,8,1,4.1,8,1,33.1,8,1,25.0,8,1,晴時々薄曇,8,1,晴,8,1,28.8,8,1
2004/8/14,0,1,8,1,9.4,0,8,1,4.3,8,1,33.3,8,1,27.2,8,1,晴,8,1,曇後時々雨,8,1,29.4,8,1
2004/8/15,20.5,0,8,1,0,1,8,1,3.3,8,1,27.9,8,1,17.6,8,1,雨時々曇,8,1,曇一時晴,8,1,20.3,8,1
2004/8/16,0,1,8,1,9.1,0,8,1,2.7,8,1,29.2,8,1,19.0,8,1,薄曇一時晴,8,1,薄曇,8,1,24.5,8,1
2004/8/17,2.5,0,8,1,2.0,0,8,1,4.9,8,1,31.4,8,1,23.5,8,1,曇一時雨,8,1,雨時々曇,8,1,27.2,8,1
2004/8/18,4.5,0,8,1,9.6,0,8,1,9.9,8,1,33.0,8,1,25.7,8,1,晴、大風を伴う,8,1,薄曇一時晴,8,1,29.6,8,1
2004/8/19,0,1,8,1,11.3,0,8,1,10.2,8,1,32.9,8,1,28.3,8,1,薄曇,8,1,晴、大風を伴う,8,1,30.0,8,1
2004/8/20,0,1,8,1,12.2,0,8,1,8.9,8,1,35.5,8,1,25.5,8,1,快晴,8,1,曇時々晴,8,1,30.0,8,1
2004/8/21,0,1,8,1,6.8,0,8,1,4.0,8,1,29.6,8,1,22.3,8,1,薄曇一時晴,8,1,薄曇,8,1,25.5,8,1
2004/8/22,0.0,0,8,1,5.1,0,8,1,2.9,8,1,30.0,8,1,22.5,8,1,薄曇一時晴,8,1,曇一時雨,8,1,25.6,8,1
2004/8/23,6.5,0,8,1,0,1,8,1,2.8,8,1,24.1,8,1,20.2,8,1,曇,8,1,雨時々曇,8,1,22.1,8,1
2004/8/24,0.5,0,8,1,4.9,0,8,1,4.9,8,1,30.1,8,1,20.1,8,1,薄曇,8,1,曇,8,1,26.1,8,1
2004/8/25,0.0,0,8,1,1.3,0,8,1,3.4,8,1,27.2,8,1,23.6,8,1,曇,8,1,曇,8,1,25.0,8,1
2004/8/26,0.0,0,8,1,1.5,0,8,1,3.8,8,1,29.7,8,1,22.0,8,1,曇,8,1,曇一時雨,8,1,25.4,8,1
2004/8/27,0.0,0,8,1,2.8,0,8,1,4.6,8,1,29.1,8,1,21.7,8,1,曇一時雨,8,1,曇一時雨,8,1,24.4,8,1
2004/8/28,0.0,0,8,1,0,1,8,1,4.9,8,1,23.5,8,1,20.8,8,1,雨時々曇,8,1,雨時々曇,8,1,21.7,8,1
2004/8/29,25.5,0,8,1,0,1,8,1,3.5,8,1,21.7,8,1,19.5,8,1,雨,8,1,曇時々雨,8,1,20.6,8,1
2004/8/30,0.5,0,8,1,3.6,0,8,1,4.0,8,1,31.8,8,1,20.5,8,1,曇一時雨,8,1,曇一時晴後時々雨、雷を伴う,8,1,26.0,8,1
2004/8/31,15.0,0,8,1,8.6,0,8,1,11.4,8,1,31.3,8,1,26.0,8,1,晴時々曇、大風を伴う,8,1,晴,8,1,28.9,8,1
2005/8/1,1.5,0,8,1,6.1,0,8,1,4.4,8,1,31.3,8,1,25.7,8,1,晴一時雨,8,1,晴,8,1,28.0,8,1
2005/8/2,3.0,0,8,1,2.6,0,8,1,4.5,8,1,30.7,8,1,26.2,8,1,曇一時雨,8,1,曇一時晴,8,1,27.8,8,1
2005/8/3,0,1,8,1,7.9,0,8,1,4.9,8,1,33.0,8,1,26.3,8,1,晴一時曇,8,1,晴後曇,8,1,28.9,8,1
2005/8/4,0,1,8,1,5.9,0,8,1,2.5,8,1,34.1,8,1,25.6,8,1,曇,8,1,薄曇時々晴,8,1,28.8,8,1
2005/8/5,0,1,8,1,10.2,0,8,1,2.9,8,1,35.3,8,1,26.1,8,1,晴,8,1,晴,8,1,29.6,8,1
2005/8/6,0.0,0,8,1,9.4,0,8,1,3.8,8,1,32.2,8,1,26.0,8,1,晴後一時曇,8,1,曇後時々晴,8,1,28.8,8,1
2005/8/7,0,1,8,1,10.1,0,8,1,5.0,8,1,32.5,8,1,26.1,8,1,晴一時薄曇,8,1,晴後薄曇,8,1,28.8,8,1
2005/8/8,0,1,8,1,7.6,0,8,1,4.1,8,1,31.4,8,1,25.4,8,1,曇一時晴,8,1,曇,8,1,28.0,8,1
2005/8/9,0,1,8,1,7.2,0,8,1,3.1,8,1,32.4,8,1,24.6,8,1,晴時々曇,8,1,曇,8,1,27.5,8,1
2005/8/10,3.0,0,8,1,3.2,0,8,1,3.0,8,1,29.7,8,1,24.5,8,1,曇時々雨後一時晴、雷を伴う,8,1,曇,8,1,26.9,8,1
2005/8/11,0,1,8,1,6.3,0,8,1,3.1,8,1,32.3,8,1,23.9,8,1,薄曇,8,1,曇後時々雨,8,1,27.3,8,1
2005/8/12,4.0,0,8,1,0,1,8,1,3.0,8,1,29.1,8,1,24.8,8,1,曇時々雨,8,1,曇後雨、雷を伴う,8,1,26.8,8,1
2005/8/13,12.0,0,8,1,1.3,0,8,1,3.9,8,1,29.7,8,1,24.2,8,1,曇一時雨,8,1,曇後一時晴,8,1,26.2,8,1
2005/8/14,0,1,8,1,10.9,0,8,1,3.4,8,1,31.7,8,1,24.7,8,1,晴後一時薄曇,8,1,曇,8,1,27.9,8,1
2005/8/15,5.0,0,8,1,8.0,0,8,1,3.6,8,1,31.9,8,1,25.2,8,1,晴後一時薄曇,8,1,曇一時雨、雷を伴う,8,1,28.4,8,1
2005/8/16,0.0,0,8,1,3.0,0,8,1,3.6,8,1,30.3,8,1,23.7,8,1,曇後時々晴,8,1,晴,8,1,26.1,8,1
2005/8/17,0,1,8,1,10.3,0,8,1,3.2,8,1,32.1,8,1,22.9,8,1,晴後一時曇,8,1,晴後一時曇,8,1,26.4,8,1
2005/8/18,0.0,0,8,1,7.3,0,8,1,3.5,8,1,32.8,8,1,24.0,8,1,曇後晴,8,1,晴,8,1,27.9,8,1
2005/8/19,0,1,8,1,12.3,0,8,1,5.8,8,1,32.6,8,1,26.6,8,1,晴,8,1,晴,8,1,29.2,8,1
2005/8/20,0,1,8,1,11.4,0,8,1,6.2,8,1,32.8,8,1,27.1,8,1,快晴,8,1,晴,8,1,29.4,8,1
2005/8/21,0,1,8,1,10.1,0,8,1,6.4,8,1,32.3,8,1,26.6,8,1,晴,8,1,晴後時々曇,8,1,29.1,8,1
2005/8/22,1.0,0,8,1,2.5,0,8,1,6.0,8,1,30.8,8,1,26.5,8,1,曇時々雨,8,1,晴一時薄曇,8,1,28.2,8,1
2005/8/23,96.0,0,8,1,2.7,0,8,1,5.7,8,1,31.3,8,1,22.2,8,1,曇一時晴、雷を伴う,8,1,大雨、雷を伴う,8,1,27.3,8,1
2005/8/24,1.0,0,8,1,0.2,0,8,1,3.9,8,1,26.1,8,1,22.1,8,1,曇一時雨,8,1,曇後一時雨,8,1,23.8,8,1
2005/8/25,68.5,0,8,1,0,1,8,1,5.9,8,1,26.3,8,1,22.2,8,1,雨一時曇,8,1,暴風雨,8,1,24.6,8,1
2005/8/26,52.0,0,8,1,5.6,0,8,1,7.5,8,1,32.2,8,1,24.1,8,1,曇一時雨、大風を伴う,8,1,曇後時々晴,8,1,27.5,8,1
2005/8/27,0,1,8,1,6.8,0,8,1,4.9,8,1,31.1,8,1,25.3,8,1,曇時々晴,8,1,曇,8,1,27.5,8,1
2005/8/28,0.0,0,8,1,0,1,8,1,3.1,8,1,26.2,8,1,23.1,8,1,曇,8,1,曇一時雨,8,1,24.7,8,1
2005/8/29,0.0,0,8,1,8.4,0,8,1,2.7,8,1,31.6,8,1,22.7,8,1,晴後一時薄曇,8,1,薄曇時々晴,8,1,25.9,8,1
2005/8/30,6.0,0,8,1,8.3,0,8,1,3.2,8,1,29.5,8,1,22.2,8,1,晴後時々曇,8,1,曇時々雨,8,1,25.7,8,1
2005/8/31,0.0,0,8,1,1.5,0,8,1,1.9,8,1,28.8,8,1,22.4,8,1,曇一時雨,8,1,薄曇後晴,8,1,25.2,8,1
2006/8/1,0,1,8,1,0.7,0,8,1,2.9,8,1,26.4,8,1,19.4,8,1,曇,8,1,曇,8,1,22.1,8,1
2006/8/2,0,1,8,1,4.0,0,8,1,2.6,8,1,29.0,8,1,20.9,8,1,曇,8,1,曇後一時晴,8,1,24.0,8,1
2006/8/3,0,1,8,1,10.6,0,8,1,3.1,8,1,30.0,8,1,21.9,8,1,晴,8,1,快晴,8,1,25.9,8,1
2006/8/4,0,1,8,1,12.8,0,8,1,4.0,8,1,31.6,8,1,24.0,8,1,快晴,8,1,晴,8,1,27.1,8,1
2006/8/5,0,1,8,1,12.2,0,8,1,3.2,8,1,35.6,8,1,24.5,8,1,快晴,8,1,晴,8,1,28.5,8,1
2006/8/6,0,1,8,1,9.5,0,8,1,2.7,8,1,33.7,8,1,23.4,8,1,晴後一時薄曇,8,1,晴時々薄曇,8,1,27.9,8,1
2006/8/7,0,1,8,1,6.9,0,8,1,3.0,8,1,33.8,8,1,25.8,8,1,晴一時薄曇,8,1,晴後雨一時曇,8,1,29.1,8,1
2006/8/8,9.0,0,8,1,0,1,8,1,3.0,8,1,28.1,8,1,23.7,8,1,雨後時々曇,8,1,曇後雨,8,1,25.4,8,1
2006/8/9,59.0,0,8,1,0,1,8,1,4.6,8,1,26.8,8,1,24.0,8,1,雨後一時曇,8,1,曇後晴,8,1,25.1,8,1
2006/8/10,0,1,8,1,11.5,0,8,1,2.7,8,1,31.8,8,1,24.2,8,1,晴,8,1,晴後曇,8,1,27.5,8,1
2006/8/11,0,1,8,1,3.9,0,8,1,3.1,8,1,31.3,8,1,24.1,8,1,曇後晴,8,1,晴後曇,8,1,26.7,8,1
2006/8/12,4.5,0,8,1,0.5,0,8,1,2.6,8,1,30.4,8,1,22.4,8,1,曇一時雨、雷を伴う,8,1,曇一時晴,8,1,25.5,8,1
2006/8/13,21.0,0,8,1,5.5,0,8,1,2.6,8,1,30.6,8,1,22.4,8,1,曇後晴一時雨、雷を伴う,8,1,晴一時雨,8,1,25.9,8,1
2006/8/14,0.0,0,8,1,8.6,0,8,1,3.7,8,1,32.0,8,1,24.9,8,1,晴,8,1,晴後曇一時雨,8,1,27.8,8,1
